N. riga,Codice Prodotto,Conformità alle norme RoHS?,Note,Q.tà,Codice produttore,Produttore / Descrizione,Disponilità,Prezzo unitario,Prezzo prodotto,Prezzo scontato
1,2320891,YES,,10.0,"MC1206N220J500CT","Gamma Prodotti:Serie MC; Capacità:22pF; Tolleranza Capacità:± 5%; Caratteristica Dielettrico:C0G / NP0; Tensione Nominale:50V; Case Condensatore Ceramico:1206 [3216 Metrico]; Temp",6879,0.0470,0.47,,
2,1470020,Y-EX,,10.0,"CRCW1206499RFKEA","Gamma Prodotti:Serie AEC-Q200 CRCW; Resistenza:499ohm; Livello di Potenza:250mW; Tolleranza Resistenza:± 1%; Modello Case Resistore:1206 [3216 Metrico]; Materiale Elemento Resistivo:Film Spesso;",39073,0.0280,0.28,,
3,1759455,YES,,10.0,"MC1206F105Z500CT","Gamma Prodotti:Serie MC; Capacità:1µF; Tolleranza Capacità:+80%, -20%; Caratteristica Dielettrico:Y5V; Tensione Nominale:50V; Case Condensatore Ceramico:1206 [3216 Metrico]; Tempe",3808,0.0634,0.63,,
4,1759327,YES,,10.0,"MC1206N101J500CT","Gamma Prodotti:Serie MC; Capacità:100pF; Tolleranza Capacità:± 5%; Caratteristica Dielettrico:C0G / NP0; Tensione Nominale:50V; Case Condensatore Ceramico:1206 [3216 Metrico]; Tem",9293,0.0525,0.53,,
5,2356192,YES,,1.0,"61304011021","Serie:WR-PHD; Distanza di Passo:2.54mm; No. di Righe:1; No. di Contatti:40; Genere:Header; Tipo Terminazione Contatto:Foro Passante; Rivestimento Contatto:Oro; Materiale Contatto:Ram",474,1.7700,1.77,,
6,1022247,YES,,10.0,"M20-9990246.","HARWIN-M20-9990246.-HEADER, DIRITTA, 2,54MM 1ROW, BIFASE",61672,0.0653,0.65,,
7,2112753,YES,,1.0,"MC1206X106K250CT..","Gamma Prodotti:Serie MC; Capacità:10µF; Tolleranza Capacità:± 10%; Caratteristica Dielettrico:X5R; Tensione Nominale:25V; Case Condensatore Ceramico:1206 [3216 Metrico]; Temperat",2726,0.1540,0.15,,
8,1715486,YES,,1.0,"ATMEGA328P-AU","ATMEL-ATMEGA328P-AU-MCU, 8BIT, ATMEGA, 20MHZ, TQFP-32",3322,2.7800,2.78,,
9,2395958,YES,,1.0,"MCRSD16000F183000RR","MULTICOMP-MCRSD16000F183000RR-CRYSTAL, 16MHZ, 18PF, HC49-US, SMD",476,0.1960,0.20,,
10,1581232,YES,,5.0,"MCL-S250GC","Dimensione Lampadina:-; Colore LED:Verde; Intensità Luminosa:10mcd; Angolo di Visualizzazione:140°; Corrente Diretta If:20mA; Tensione Diretta:2.1V; Montaggio LED:SMD; Forma lente:Rettangolare; Lun",3534,0.1210,0.61,,
11,1581231,YES,,5.0,"MCL-S250YC","Dimensione Lampadina:1,6mm x 2mm; Colore LED:Giallo; Intensità Luminosa:11mcd; Angolo di Visualizzazione:140°; Corrente Diretta If:20mA; Tensione Diretta:2.1V; Montaggio LED:SMD; Forma lente:Retta",2739,0.0525,0.26,,
12,2076274,YES,,1.0,"B3SN-3112P","OMRON ELECTRONIC COMPONENTS-B3SN-3112P-SWITCH, 6X6X3.1MM, SEALED, 1.57N",1144,0.6520,0.65,,
13,2057856,YES,,10.0,"ERJ8GEYJ103V","Gamma Prodotti:Serie AEC-Q200 ERJ; Resistenza:10kohm; Livello di Potenza:250mW; Tolleranza Resistenza:± 5%; Modello Case Resistore:1206 [3216 Metrico]; Materiale Elemento Resistivo:Film Sp",29130,0.0260,0.26,,

,,,,,,,Subtotale,9.24
,,,,,,,Totale merci,9.24
,,,,,,,Spedizione  base,0.00
,,,,,,,IVA,Unknown
,,,,,,,Totale,9.24
